timestep,action
1,B
2,FR
3,B
4,H
5,BL
6,BL
7,BR
8,R
9,BL
10,B
11,FL
12,L
13,BL
14,FR
15,L
16,H
17,B
18,FL
19,FR
20,F
21,FL
22,H
23,F
24,L
25,F
26,BL
27,B
28,H
29,H
30,BR
31,FL
32,BL
33,L
34,R
35,FR
36,F
37,H
38,BR
39,FL
40,BR
41,FL
42,B
43,BR
44,L
45,B
46,BL
47,B
48,FR
49,BR
50,FR
51,BR
52,H
53,R
54,FR
55,L
56,FL
57,FR
58,R
59,R
60,BL
61,B
62,F
63,BR
64,FL
65,B
66,R
67,BR
68,H
69,H
70,L
71,H
72,L
73,H
74,R
75,H
76,R
77,F
78,L
79,H
80,BR
81,B
