timestep,action
1,R
2,F
3,L
4,BL
5,BL
6,L
7,B
8,FL
9,BR
10,BL
11,FR
12,BL
13,F
14,R
15,L
16,L
17,H
18,B
19,BL
20,L
21,F
22,BL
23,F
24,F
25,FL
26,H
27,B
28,FL
29,FL
30,FR
31,BL
32,FL
33,R
34,BL
35,BL
36,FR
37,L
38,FL
39,BR
40,H
41,F
42,BR
43,R
44,BL
45,R
46,R
47,FR
48,BL
49,L
50,BL
51,F
52,B
53,F
54,L
55,F
56,R
57,L
58,FL
59,BR
60,R
61,H
62,BL
63,F
64,B
65,FL
66,FR
67,BL
68,B
69,FL
70,B
71,FL
72,BL
73,FL
74,F
75,R
76,FR
77,L
78,R
79,R
80,BR
81,FR
82,BR
83,FR
84,F
85,R
86,FL
87,FR
88,B
89,FR
90,F
91,B
92,B
93,H
94,FR
95,BL
96,FR
97,H
98,H
99,BR
100,L
101,B
102,BL
103,B
104,BL
105,FR
106,FL
107,B
108,H
109,BR
110,R
111,FR
112,H
113,R
114,BR
115,F
