timestep,action
1,H
2,FL
3,BL
4,F
5,F
6,FL
7,F
8,B
9,L
10,L
11,H
12,R
13,FR
14,R
15,H
16,L
17,R
18,FL
19,BL
20,BR
21,BL
22,L
23,FR
24,B
25,BL
26,BL
27,BL
28,F
29,R
30,FR
31,BR
32,FR
33,R
34,R
35,FL
36,F
37,B
38,BR
39,FR
40,H
41,BL
42,B
43,BL
44,H
45,BR
46,R
47,BR
48,BR
49,FL
50,B
51,FL
52,F
53,R
54,BL
55,BR
56,H
57,F
58,BL
59,H
60,L
61,R
62,L
63,FL
64,L
65,FR
66,FL
67,L
68,L
69,BL
70,BL
71,F
72,FR
73,B
74,FL
75,H
76,FR
77,L
78,H
79,R
80,FR
81,R
82,R
83,FR
84,BL
85,FL
86,BR
87,FL
88,FL
89,F
90,F
91,BR
92,L
93,BL
94,BL
95,F
96,BR
97,R
98,BR
99,BR
100,F
101,H
102,B
103,FR
104,B
105,BR
106,H
107,BL
108,H
109,F
110,B
111,BR
112,FR
113,BL
114,R
115,B
116,B
117,BL
118,F
119,BL
120,L
121,L
122,FL
123,F
124,L
125,B
126,L
127,H
128,F
129,B
130,F
131,BL
132,FR
133,FR
134,BL
135,F
136,B
137,BL
138,FR
139,L
140,BL
141,L
142,FL
143,H
144,L
145,R
146,BR
147,BL
148,BL
149,H
150,L
151,BR
152,FL
153,H
154,BL
155,R
156,BR
157,B
158,FL
159,B
160,FL
161,FR
162,BR
163,R
164,F
165,H
166,B
167,FL
168,FL
169,L
170,R
171,H
172,FL
173,B
174,BL
175,FL
176,BL
177,F
178,F
179,L
180,BL
181,L
182,R
183,R
184,B
185,L
186,BL
187,L
188,FR
189,BR
190,L
191,L
192,BR
193,FL
194,FL
195,L
196,FR
197,BR
198,R
199,R
200,FR
