timestep,action
1,BR
2,R
3,B
4,R
5,F
6,R
7,L
8,BR
9,BL
10,L
11,H
12,BL
13,BR
14,FL
15,BL
16,FL
17,FR
18,H
19,FL
20,H
21,BR
22,R
23,B
24,BR
25,R
26,FL
27,BR
28,R
29,BR
30,F
31,H
32,BL
33,R
34,F
35,L
36,R
37,FL
38,L
39,R
40,H
41,H
42,F
43,L
44,FL
45,R
46,R
47,FL
48,BL
49,R
50,BR
51,B
52,R
53,FR
54,R
55,F
56,BL
57,FL
58,H
59,F
60,FL
61,BL
62,R
63,BL
64,BR
65,H
66,H
67,H
68,B
69,FR
70,R
71,FR
72,FR
73,L
74,FR
75,B
76,L
77,H
78,L
79,BL
80,FL
81,B
82,L
83,F
84,H
85,FL
86,FR
87,L
88,F
89,BL
90,F
91,BL
92,F
93,F
94,BL
95,F
96,H
97,B
98,BR
99,R
100,FR
101,BR
102,FR
103,B
104,BL
105,H
106,F
107,R
108,FL
109,B
110,H
111,R
112,L
113,L
114,FR
115,FR
116,H
117,B
118,BR
119,BL
120,B
121,BL
122,H
123,BL
124,FL
125,F
126,FL
127,B
128,R
129,L
130,B
131,H
132,BL
133,H
134,BL
135,H
136,L
137,F
138,R
139,FR
140,R
141,BR
142,R
143,L
144,H
145,FL
146,L
147,BL
148,FL
149,FR
150,R
151,F
152,L
153,FR
154,BL
155,L
156,FL
157,F
158,R
159,F
160,R
161,FL
162,FL
163,BR
164,B
165,L
166,FL
167,BL
168,L
169,FR
170,H
171,H
172,BR
173,H
174,BR
175,R
176,L
177,B
178,BR
179,FL
180,FR
181,FR
182,F
