timestep,action
1,BL
2,H
3,BR
4,BR
5,BR
6,R
7,H
8,L
9,B
10,FR
11,FR
12,BL
13,BL
14,H
15,R
16,L
17,FR
18,R
19,BL
20,H
21,H
22,B
23,BL
24,F
25,R
26,B
27,H
28,H
29,B
30,FL
31,R
32,FR
33,H
34,L
35,L
36,FL
37,BR
38,BL
39,H
40,B
41,H
42,H
43,R
44,L
45,B
46,BL
47,FR
48,F
49,BR
50,R
51,B
52,F
53,FL
54,BL
55,FR
56,L
57,BR
58,BL
59,BR
60,FL
61,R
62,F
63,FL
64,BL
65,R
66,FR
67,R
68,L
69,BL
70,L
71,BL
72,F
73,BL
74,FL
75,B
76,R
77,F
78,L
79,BR
80,BR
81,BR
82,BL
83,B
84,BL
85,L
86,BL
87,R
88,L
89,L
90,B
91,FL
92,L
93,F
94,B
95,FL
96,FR
97,FL
98,B
99,R
100,FR
101,R
102,BL
103,B
104,F
105,R
106,FR
107,F
108,R
109,BR
110,H
111,R
112,FR
113,R
114,FL
115,F
116,L
117,FR
118,B
119,BL
120,B
121,FL
122,BL
123,H
124,H
125,B
126,FR
127,B
128,BR
129,BL
130,B
131,B
132,R
133,FR
134,BR
135,H
136,FR
137,BR
138,F
139,H
140,L
141,H
142,L
143,B
144,L
145,L
146,B
147,FR
148,R
149,L
150,F
151,H
152,R
153,BL
154,BR
155,BR
156,B
157,FL
158,BL
159,F
160,L
161,BR
162,BL
163,BR
164,BR
165,L
166,H
167,B
168,FR
169,FR
170,BR
171,L
172,FR
173,R
174,FL
175,BR
176,BL
177,FL
178,BR
179,FR
180,B
181,FL
182,FR
183,FL
184,FL
185,F
186,B
187,F
188,BR
189,H
190,FR
191,FR
192,BR
193,H
194,F
195,H
196,BL
197,F
198,L
199,FL
200,F
