timestep,action
1,L
2,B
3,B
4,R
5,H
6,F
7,FL
8,H
9,B
10,R
11,B
12,BR
13,H
14,L
15,F
16,FR
17,L
18,FR
19,BL
20,BL
21,FL
22,F
23,R
24,H
25,FR
26,BR
27,BL
28,R
29,FL
30,R
31,L
32,FR
33,L
34,FR
35,BL
36,B
37,H
38,BR
39,FL
40,BR
41,H
42,FL
43,F
44,FL
45,BR
46,BL
47,F
48,FR
49,BR
50,F
51,R
52,R
53,B
54,R
55,FR
56,F
57,FL
58,R
59,B
60,L
61,L
62,L
63,BL
64,BR
65,BL
66,FR
67,H
68,BR
69,FR
70,R
71,L
72,R
73,R
74,B
75,H
76,B
77,FR
78,FL
79,R
80,BR
81,BR
82,BL
83,FL
84,F
85,H
86,L
87,FL
88,FL
89,BL
90,F
91,H
92,H
93,FR
94,L
95,L
96,F
97,B
98,H
99,FR
100,B
101,F
102,BL
103,B
104,R
105,FR
106,BL
107,FL
108,B
109,H
110,FL
111,BL
112,FL
113,R
114,R
115,BR
116,R
117,FR
118,FL
119,FR
120,BL
121,B
122,F
123,FL
124,F
125,R
126,FR
127,FR
128,L
129,H
130,B
131,FR
132,F
133,R
134,L
135,B
136,H
137,FR
138,B
139,BR
140,BR
141,FR
142,L
143,BL
144,BR
145,F
146,BL
147,R
148,B
149,BR
150,FR
151,BR
152,FR
153,BR
154,BL
155,FR
156,L
157,F
158,BL
159,H
160,BR
161,R
162,F
163,FL
164,BL
165,FL
166,BL
167,B
168,FL
169,BL
170,B
171,B
172,BR
173,BR
174,R
175,FR
176,B
177,BL
178,BL
179,R
180,R
181,BR
182,F
183,B
184,R
185,R
186,L
187,R
188,R
189,R
190,FL
191,B
192,BL
193,L
194,BL
195,FL
196,R
197,B
198,L
199,BL
200,B
