1648990715.449988,48.87889989128683,2.367778639955579,2.2459933757781982,FR,13,9,100
1648990720.540968,48.87887214404176,2.3678050526425505,2.476027250289917,B,9,14,100
1648990726.121661,48.87887110061305,2.3677814317585,2.493083953857422,FR,14,10,100
1648990731.083853,48.878844507209884,2.3678038376288426,2.4994425773620605,F,10,5,100
1648990736.505096,48.878842333917724,2.3678309092910705,2.501023769378662,L,5,4,100
1648990741.829416,48.878869785401854,2.3678330287383837,2.5015835762023926,L,4,3,100
1648990747.092586,48.87889878637028,2.367833001668055,2.5003838539123535,L,3,2,100
1648990752.335180,48.87892785385005,2.3678329591177887,2.501605272293091,L,2,1,100
1648990757.285176,48.87895513496945,2.3678330281319666,2.4992260932922363,B,1,6,100
1648990762.860893,48.87895775547107,2.3678078511840925,2.499624729156494,BR,6,12,100
1648990767.937833,48.87893009953435,2.3677799631401846,2.4994897842407227,F,12,7,100
1648990773.441978,48.87892876509462,2.367804367330916,2.5009138584136963,BR,7,13,100
1648990778.501027,48.87890079943511,2.3677796688207615,2.4995169639587402,F,13,8,100
1648990784.047309,48.87889988333082,2.367803066973783,2.500352621078491,BR,8,14,100
1648990789.147163,48.87887307421473,2.3677807086,2.5003743171691895,F,14,9,100
1648990794.750269,48.87887112229176,2.36780373893446,2.5005695819854736,BR,9,15,100
1648990975.941363,48.87890000325993,2.367778800885936,1.3716293573379517,FR,13,9,100
1648990980.788067,48.87887213628377,2.3678049929968648,2.4735260009765625,B,9,14,100
1648990986.089027,48.87887105996045,2.367779916158957,2.4953174591064453,FR,14,10,100
1648990990.821562,48.87884333158248,2.3678049937940098,2.500236749649048,F,10,5,100
1648990996.037657,48.878842337748516,2.367829931877124,2.501293420791626,L,5,4,100
1648991001.133890,48.878870313529056,2.3678330967972916,2.500574827194214,L,4,3,100
1648991006.173873,48.87889907681849,2.3678330056782326,2.5004563331604004,L,3,2,100
1648991011.232223,48.87892790744112,2.3678330067215305,2.5015432834625244,L,2,1,100
1648991015.995006,48.87895671917098,2.3678329601317443,2.5009660720825195,B,1,6,100
