timestep,action
1,BL
2,FR
3,L
4,H
5,FR
6,BL
7,FL
8,H
9,BL
10,BR
11,F
12,FL
13,H
14,BL
15,L
16,FL
17,BR
18,R
19,L
20,F
21,FR
22,BL
23,FL
24,FR
25,FL
26,B
27,R
28,F
29,F
30,R
31,B
32,L
33,R
34,R
35,H
36,BR
37,FL
38,F
39,BL
40,B
41,BR
42,F
43,F
44,FL
45,R
46,L
47,H
48,H
49,B
50,H
51,BR
52,H
53,BL
54,H
55,FR
56,H
57,B
58,FR
59,FL
60,FR
61,FR
62,B
63,BL
64,FL
65,BL
66,L
67,FL
68,FR
69,B
70,R
71,H
72,F
73,FL
74,FR
75,R
76,L
77,H
78,FL
79,F
80,BL
81,R
82,BR
83,L
84,FR
85,FR
86,BR
87,R
88,FL
89,FR
90,F
91,FR
92,F
93,R
94,L
95,B
96,L
97,R
98,H
99,R
100,F
101,H
102,L
103,BR
104,FR
105,R
106,FL
107,H
108,FL
109,FR
110,F
111,R
112,H
113,BL
114,FR
115,R
116,BR
117,F
118,H
119,F
120,L
121,B
122,F
123,L
124,L
125,R
126,BR
127,FR
128,L
129,R
130,BL
131,FR
132,FL
133,R
134,BL
135,BL
136,F
137,BR
138,R
139,B
140,BL
141,H
142,B
143,F
144,R
145,BR
146,B
